Magnetic.Field,Current 
0.0008804206667,1.13
0.0008960033333,1.15
0.000911586,1.17
0.0009271686667,1.19
0.0009427513333,1.21
0.000958334,1.23
0.0009739166667,1.25
0.0009894993333,1.27
0.001005082,1.29
0.001020664667,1.31
0.001036247333,1.33
0.00105183,1.35
0.001067412667,1.37
0.001082995333,1.39
0.001098578,1.41
0.001114160667,1.43
0.001129743333,1.45
0.001145326,1.47
0.001160908667,1.49
0.001176491333,1.51
0.001192074,1.53
0.001207656667,1.55
0.001223239333,1.57
0.001238822,1.59
0.001254404667,1.61
0.001269987333,1.63
0.00128557,1.65
0.001301152667,1.67
0.001316735333,1.69
0.001332318,1.71

